,ts,target
73,"[-2.85563520e-22 -5.48584381e-23 -2.42832866e-22 ...  1.05494834e-22
  1.71398071e-22  1.15177942e-22]",1
74,"[-3.15202882e-22  3.14121307e-22 -5.04317807e-23 ...  1.46665595e-22
  6.13816694e-23  1.13646542e-22]",1
75,"[-9.05561715e-23  2.44303379e-22  1.55076941e-22 ...  1.14759492e-22
 -3.17913186e-23 -1.51307723e-22]",0
76,"[-1.87342182e-22 -1.46663097e-22 -1.52861703e-22 ... -1.69611264e-22
  9.00263660e-23  4.13603605e-22]",0
77,"[ 3.53224199e-22 -2.59010149e-22  1.58760895e-22 ... -4.55559548e-22
  2.94607664e-22 -1.71550338e-22]",1
78,"[ 5.62495512e-24  1.08581944e-22 -6.06207955e-23 ...  1.11828423e-23
 -1.37784120e-22  1.60523288e-23]",1
79,"[-5.36168520e-23 -1.24723747e-22  6.42812953e-23 ... -3.45914168e-22
  2.07219734e-22 -3.21829108e-23]",1
80,"[-3.22228529e-22  2.37031434e-23  9.23230397e-23 ...  1.39053844e-22
  1.38146194e-22 -2.58514727e-22]",1
81,"[-1.82269391e-22  1.66817200e-22 -1.80834128e-22 ... -1.92147411e-22
  2.50042164e-23 -3.77245226e-22]",1
82,"[-6.51111732e-23 -1.45226208e-23 -1.95760242e-22 ...  1.92404567e-22
  4.26059466e-23  4.94126604e-22]",0
83,"[-1.53088447e-22  1.50222382e-22  6.94292337e-23 ...  1.97931790e-22
 -8.30130838e-23 -7.44687121e-23]",0
84,"[-3.48419723e-23  5.36271951e-23 -4.06565629e-22 ... -1.37324804e-22
 -2.42960639e-22  6.88608332e-22]",1
85,"[-1.49696672e-22  1.33331996e-22 -1.24448664e-22 ... -5.25173485e-23
  2.06252781e-22 -2.18798941e-23]",1
86,"[ 5.90242963e-23 -1.56065752e-22  8.63791879e-23 ... -7.66512690e-23
  8.04763669e-23 -2.84493755e-22]",1
87,"[ 1.23738576e-22  3.52902789e-23  1.27942289e-22 ...  2.09819116e-22
 -8.08914979e-23  6.16660684e-23]",1
88,"[ 7.56757158e-23  1.30435219e-22 -1.95752912e-22 ... -3.06554745e-23
 -1.51198450e-22  1.68022507e-22]",1
89,"[ 2.75655948e-23 -8.94558328e-23 -1.55713422e-22 ...  1.45856816e-23
  9.49888275e-23 -3.62783058e-23]",0
90,"[-5.55483888e-23  6.74754390e-24 -7.31597033e-24 ...  1.40537688e-23
  1.85499308e-23 -7.34732153e-23]",0
91,"[-4.29792120e-23  1.83248703e-22  9.79938348e-23 ... -2.57863835e-23
 -5.75812245e-22  4.06794576e-22]",1
92,"[ 6.18146780e-24 -1.76641528e-22 -1.29970711e-22 ...  5.76981242e-23
 -1.89773962e-22  2.17754293e-22]",1
93,"[-1.23449870e-22 -5.74435147e-24  4.19291073e-23 ...  1.03889868e-22
 -9.66490744e-23  9.29862193e-23]",1
94,"[ 1.30065544e-22  4.62086805e-23 -1.27794783e-23 ... -1.00357098e-22
  1.54746664e-22  3.55162934e-23]",1
95,"[ 8.13894865e-23  7.84593921e-23  1.73362245e-22 ...  4.76083370e-22
 -3.51422863e-23 -2.01767375e-22]",1
96,"[ 2.60443222e-22  5.52211822e-22 -3.56114095e-22 ... -2.96231318e-22
 -3.39432704e-23  8.15440866e-23]",0
97,"[-9.84833649e-23  8.68555086e-23 -2.62709777e-23 ...  1.23714130e-22
 -2.80233333e-23  3.34069827e-23]",0
98,"[ 4.86960395e-23 -1.50927131e-22 -8.18635219e-23 ... -1.18785338e-22
  2.42666550e-22  1.03673389e-23]",1
